2023-12-21 02:56:24,312 INFO    MainThread:20844 [wandb_setup.py:_flush():76] Current SDK version is 0.16.1
2023-12-21 02:56:24,313 INFO    MainThread:20844 [wandb_setup.py:_flush():76] Configure stats pid to 20844
2023-12-21 02:56:24,313 INFO    MainThread:20844 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Lukas Svendsen\.config\wandb\settings
2023-12-21 02:56:24,313 INFO    MainThread:20844 [wandb_setup.py:_flush():76] Loading settings from c:\Users\Lukas Svendsen\Desktop\AML\exam\wandb\settings
2023-12-21 02:56:24,313 INFO    MainThread:20844 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-12-21 02:56:24,313 INFO    MainThread:20844 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-12-21 02:56:24,313 INFO    MainThread:20844 [wandb_init.py:_log_setup():524] Logging user logs to c:\Users\Lukas Svendsen\Desktop\AML\exam\wandb\run-20231221_025624-8ktkk6ws\logs\debug.log
2023-12-21 02:56:24,314 INFO    MainThread:20844 [wandb_init.py:_log_setup():525] Logging internal logs to c:\Users\Lukas Svendsen\Desktop\AML\exam\wandb\run-20231221_025624-8ktkk6ws\logs\debug-internal.log
2023-12-21 02:56:24,314 INFO    MainThread:20844 [wandb_init.py:_jupyter_setup():470] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x0000020A9DD9DD50>
2023-12-21 02:56:24,314 INFO    MainThread:20844 [wandb_init.py:init():564] calling init triggers
2023-12-21 02:56:24,314 INFO    MainThread:20844 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {}
2023-12-21 02:56:24,314 INFO    MainThread:20844 [wandb_init.py:init():614] starting backend
2023-12-21 02:56:24,314 INFO    MainThread:20844 [wandb_init.py:init():618] setting up manager
2023-12-21 02:56:24,321 INFO    MainThread:20844 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2023-12-21 02:56:24,325 INFO    MainThread:20844 [wandb_init.py:init():624] backend started and connected
2023-12-21 02:56:24,346 INFO    MainThread:20844 [wandb_run.py:_label_probe_notebook():1294] probe notebook
2023-12-21 02:56:24,348 INFO    MainThread:20844 [wandb_run.py:_label_probe_notebook():1304] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-12-21 02:56:24,348 INFO    MainThread:20844 [wandb_init.py:init():716] updated telemetry
2023-12-21 02:56:24,348 INFO    MainThread:20844 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2023-12-21 02:56:24,925 INFO    MainThread:20844 [wandb_run.py:_on_init():2254] communicating current version
2023-12-21 02:56:25,018 INFO    MainThread:20844 [wandb_run.py:_on_init():2263] got version response 
2023-12-21 02:56:25,018 INFO    MainThread:20844 [wandb_init.py:init():800] starting run threads in backend
2023-12-21 02:56:25,089 INFO    MainThread:20844 [wandb_run.py:_console_start():2233] atexit reg
2023-12-21 02:56:25,090 INFO    MainThread:20844 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2023-12-21 02:56:25,090 INFO    MainThread:20844 [wandb_run.py:_redirect():2153] Wrapping output streams.
2023-12-21 02:56:25,090 INFO    MainThread:20844 [wandb_run.py:_redirect():2178] Redirects installed.
2023-12-21 02:56:25,090 INFO    MainThread:20844 [wandb_init.py:init():841] run started, returning control to user process
2023-12-21 02:56:25,091 INFO    MainThread:20844 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-21 02:56:25,091 INFO    MainThread:20844 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-21 02:56:25,143 INFO    MainThread:20844 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-21 02:56:25,171 INFO    MainThread:20844 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-21 02:56:25,171 INFO    MainThread:20844 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-21 02:56:25,196 INFO    MainThread:20844 [wandb_init.py:_resume_backend():440] resuming backend
